id;placed_date;status;code
1;2022-01-06T11:59:37;COMPLETED;Electronics
2;2022-01-06T06:21:36;COMPLETED;payment PCI violet
3;2022-01-06T16:50:29;CANCELLED;background out-of-the-box withdrawal
4;2022-01-05T20:53:30;COMPLETED;Music real-time
5;2022-01-06T04:57:39;CANCELLED;Hat
6;2022-01-06T17:42:27;PENDING;solid navigating
7;2022-01-06T03:38:13;PENDING;Toys maroon
8;2022-01-06T16:27:47;COMPLETED;Developer
9;2022-01-05T23:56:11;COMPLETED;Credit Soft Cotton
10;2022-01-06T14:38:47;CANCELLED;contingency Bedfordshire
