id;date;details;status;payment_method;payment_date;payment_amount
1;2022-01-06T04:35:39;RAM systemic;PAID;CASH_ON_DELIVERY;2022-01-06T09:01:34;5801
2;2022-01-05T22:49:50;Idaho calculating model;ISSUED;CREDIT_CARD;2022-01-06T01:04:47;75071
3;2022-01-05T21:35:48;program SQL;CANCELLED;CREDIT_CARD;2022-01-05T20:15:12;79944
4;2022-01-06T08:29:55;Soft Central;PAID;CASH_ON_DELIVERY;2022-01-06T05:45:36;8068
5;2022-01-06T12:36:47;Bhutanese;CANCELLED;PAYPAL;2022-01-06T14:26:20;87472
6;2022-01-06T01:13:15;Engineer Shirt Court;CANCELLED;PAYPAL;2022-01-06T16:57:42;62834
7;2022-01-06T12:45:37;program transmitting parse;PAID;CREDIT_CARD;2022-01-06T03:45:55;38509
8;2022-01-06T03:27:13;Dynamic iterate;PAID;CREDIT_CARD;2022-01-05T23:44:01;6085
9;2022-01-05T20:20:56;black Maine;PAID;CREDIT_CARD;2022-01-05T23:03:01;11254
10;2022-01-06T09:36:17;Lead Well;CANCELLED;PAYPAL;2022-01-05T22:53:25;85804
